threshold,before_wer,after_wer,before_cer,after_cer,before_sentence_accuracy,after_sentence_accuracy,total_samples,total_changed,metric_improved_count,metric_worsened_count,metric_unchanged_after_change_count,metric_missed_remaining_error_count,metric_unchanged_or_not_attempted_count,metric_precision,wer_delta,cer_delta,sentence_accuracy_delta
0.5,0.3203961188356507,0.3203961188356507,0.3390036929362772,0.3390036929362772,0.7339568719147831,0.7339568719147831,3849,0,0,0,0,1024,2825,0.0,0.0,0.0,0.0
0.55,0.3203961188356507,0.3203961188356507,0.3390036929362772,0.3390036929362772,0.7339568719147831,0.7339568719147831,3849,0,0,0,0,1024,2825,0.0,0.0,0.0,0.0
0.6,0.3203961188356507,0.3203961188356507,0.3390036929362772,0.3390036929362772,0.7339568719147831,0.7339568719147831,3849,0,0,0,0,1024,2825,0.0,0.0,0.0,0.0
0.62,0.3203961188356507,0.3203961188356507,0.3390036929362772,0.3390036929362772,0.7339568719147831,0.7339568719147831,3849,0,0,0,0,1024,2825,0.0,0.0,0.0,0.0
0.65,0.3203961188356507,0.3203961188356507,0.3390036929362772,0.3390036929362772,0.7339568719147831,0.7339568719147831,3849,0,0,0,0,1024,2825,0.0,0.0,0.0,0.0
0.7,0.3203961188356507,0.3203961188356507,0.3390036929362772,0.3390036929362772,0.7339568719147831,0.7339568719147831,3849,0,0,0,0,1024,2825,0.0,0.0,0.0,0.0
0.75,0.3203961188356507,0.3203961188356507,0.3390036929362772,0.3390036929362772,0.7339568719147831,0.7339568719147831,3849,0,0,0,0,1024,2825,0.0,0.0,0.0,0.0
