name,confidence_threshold,min_similarity,min_margin,max_edit_extra,before_wer,after_wer,before_cer,after_cer,before_sentence_accuracy,after_sentence_accuracy,total_samples,total_changed,metric_improved_count,metric_worsened_count,metric_unchanged_after_change_count,metric_missed_remaining_error_count,metric_unchanged_or_not_attempted_count,metric_precision,wer_delta,cer_delta,sentence_accuracy_delta
v3_like_safe,0.88,0.84,0.03,0,0.32599779933980194,0.32599779933980194,0.3400055001178597,0.3400055001178597,0.7233047544816835,0.7233047544816835,3849,0,0,0,0,1065,2784,0.0,0.0,0.0,0.0
balanced_v4,0.84,0.8,0.02,0,0.32599779933980194,0.32599779933980194,0.3400055001178597,0.3400055001178597,0.7233047544816835,0.7233047544816835,3849,0,0,0,0,1065,2784,0.0,0.0,0.0,0.0
more_recall_safe,0.82,0.78,0.02,0,0.32599779933980194,0.32539761928578576,0.3400055001178597,0.3398876404494382,0.7233047544816835,0.7243439854507664,3849,6,6,0,0,1059,2784,1.0,-0.0006001800540161861,-0.00011785966842148277,0.0010392309690828716
missing_extra_char_focus,0.84,0.78,0.02,1,0.32599779933980194,0.32599779933980194,0.3400055001178597,0.3400055001178597,0.7233047544816835,0.7233047544816835,3849,0,0,0,0,1065,2784,0.0,0.0,0.0,0.0
high_precision,0.9,0.86,0.04,0,0.32599779933980194,0.32599779933980194,0.3400055001178597,0.3400055001178597,0.7233047544816835,0.7233047544816835,3849,0,0,0,0,1065,2784,0.0,0.0,0.0,0.0
