loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
39.9463818359375,214.53662109375,2.325e-06,0.06666666666666667,100,,,,,,,,,
8.891304931640626,252.64564514160156,4.775e-06,0.13333333333333333,200,,,,,,,,,
1.1239192962646485,0.8909907937049866,4.894186046511628e-06,0.2,300,,,,,,,,,
0.8565621948242188,6.390396595001221,4.7779069767441866e-06,0.26666666666666666,400,,,,,,,,,
0.8714397430419922,46.11531448364258,4.661627906976745e-06,0.3333333333333333,500,,,,,,,,,
0.7491612243652344,81.89888000488281,4.545348837209302e-06,0.4,600,,,,,,,,,
0.8066520690917969,77.80593872070312,4.429069767441861e-06,0.4666666666666667,700,,,,,,,,,
0.5561741638183594,1.7755510807037354,4.312790697674419e-06,0.5333333333333333,800,,,,,,,,,
0.6960979461669922,71.1327896118164,4.196511627906977e-06,0.6,900,,,,,,,,,
0.6843940734863281,96.05046081542969,4.080232558139535e-06,0.6666666666666666,1000,,,,,,,,,
0.5658311080932618,77.66004943847656,3.9639534883720934e-06,0.7333333333333333,1100,,,,,,,,,
0.5702511978149414,56.980316162109375,3.847674418604652e-06,0.8,1200,,,,,,,,,
0.42128768920898435,42.015403747558594,3.7313953488372095e-06,0.8666666666666667,1300,,,,,,,,,
0.4916703414916992,6.736724376678467,3.6151162790697673e-06,0.9333333333333333,1400,,,,,,,,,
0.5194501495361328,129.10745239257812,3.498837209302326e-06,1.0,1500,,,,,,,,,
,,,1.0,1500,0.18466056883335114,620.3641,6.204,6.204,,,,,
0.21671445846557616,86.15977478027344,3.382558139534884e-06,1.0666666666666667,1600,,,,,,,,,
0.33161670684814454,3.812089443206787,3.2662790697674425e-06,1.1333333333333333,1700,,,,,,,,,
0.22893861770629884,87.77597045898438,3.1500000000000003e-06,1.2,1800,,,,,,,,,
0.22522565841674805,17.842906951904297,3.033720930232558e-06,1.2666666666666666,1900,,,,,,,,,
0.27456945419311524,5.868212699890137,2.917441860465117e-06,1.3333333333333333,2000,,,,,,,,,
0.2651476287841797,17.277507781982422,2.8011627906976747e-06,1.4,2100,,,,,,,,,
0.1968437385559082,191.3629913330078,2.6848837209302325e-06,1.4666666666666668,2200,,,,,,,,,
0.21338874816894532,126.63111114501953,2.568604651162791e-06,1.5333333333333332,2300,,,,,,,,,
0.2196189308166504,15.594422340393066,2.452325581395349e-06,1.6,2400,,,,,,,,,
0.2399049949645996,19.157686233520508,2.3360465116279072e-06,1.6666666666666665,2500,,,,,,,,,
0.18424678802490235,0.35441696643829346,2.2197674418604655e-06,1.7333333333333334,2600,,,,,,,,,
0.26224632263183595,0.12627887725830078,2.1034883720930237e-06,1.8,2700,,,,,,,,,
0.24009693145751954,5.002659320831299,1.9872093023255815e-06,1.8666666666666667,2800,,,,,,,,,
0.22527822494506836,20.77277183532715,1.8709302325581396e-06,1.9333333333333333,2900,,,,,,,,,
0.21423345565795898,0.16646982729434967,1.7546511627906978e-06,2.0,3000,,,,,,,,,
,,,2.0,3000,0.19055956602096558,691.4355,5.567,5.567,,,,,
0.09041251182556152,82.0780258178711,1.638372093023256e-06,2.066666666666667,3100,,,,,,,,,
0.17957197189331053,1.8249253034591675,1.522093023255814e-06,2.1333333333333333,3200,,,,,,,,,
0.13859769821166992,8.17800521850586,1.4058139534883722e-06,2.2,3300,,,,,,,,,
0.09314031600952148,21.869888305664062,1.2895348837209304e-06,2.2666666666666666,3400,,,,,,,,,
0.08347991943359374,0.1673848032951355,1.1732558139534884e-06,2.3333333333333335,3500,,,,,,,,,
0.10888864517211914,78.34587097167969,1.0569767441860467e-06,2.4,3600,,,,,,,,,
0.12432892799377442,0.2847606837749481,9.406976744186047e-07,2.466666666666667,3700,,,,,,,,,
0.10774066925048828,33.08544921875,8.244186046511629e-07,2.533333333333333,3800,,,,,,,,,
0.12304439544677734,72.32087707519531,7.08139534883721e-07,2.6,3900,,,,,,,,,
0.1184246826171875,0.5658395290374756,5.918604651162791e-07,2.6666666666666665,4000,,,,,,,,,
0.08271241188049316,0.2561758756637573,4.7558139534883724e-07,2.7333333333333334,4100,,,,,,,,,
0.0900971221923828,2.3527989387512207,3.593023255813954e-07,2.8,4200,,,,,,,,,
0.1193283748626709,22.821290969848633,2.430232558139535e-07,2.8666666666666667,4300,,,,,,,,,
0.09079498291015625,24.872695922851562,1.2674418604651164e-07,2.9333333333333336,4400,,,,,,,,,
0.09843212127685547,0.06737150996923447,1.0465116279069768e-08,3.0,4500,,,,,,,,,
,,,3.0,4500,0.19615274667739868,605.4678,6.357,6.357,,,,,
,,,3.0,4500,,,,,29580.3074,1.217,0.152,1.038907441152e+19,1.3986142972310385
