name,confidence_threshold,min_context_gain,max_repeat_keep,repeated_phrase_max_len,min_repeated_word_count,before_wer,after_wer,before_cer,after_cer,before_sentence_accuracy,after_sentence_accuracy,total_samples,total_changed,metric_improved_count,metric_worsened_count,metric_unchanged_after_change_count,metric_missed_remaining_error_count,metric_unchanged_or_not_attempted_count,metric_precision,wer_delta,cer_delta,sentence_accuracy_delta
safe_repeat_cleanup,0.7,0.2,1,6,3,0.32539761928578576,0.2120636190857257,0.3398876404494382,0.2412783845368115,0.7243439854507664,0.7243439854507664,3849,41,41,0,0,1020,2788,1.0,-0.11333400020006004,-0.0986092559126267,0.0
balanced,0.55,0.05,1,6,3,0.32539761928578576,0.21196358907672302,0.3398876404494382,0.24125874125874125,0.7243439854507664,0.7243439854507664,3849,42,42,0,0,1019,2788,1.0,-0.11343403020906273,-0.09862889919069695,0.0
repeat_keep_two,0.55,0.05,2,6,3,0.32539761928578576,0.21226367910373112,0.3398876404494382,0.2416319635420759,0.7243439854507664,0.7243439854507664,3849,42,42,0,0,1019,2788,1.0,-0.11313394018205464,-0.09825567690736231,0.0
strict_confusion_loose_repetition,0.75,0.2,1,7,3,0.32539761928578576,0.2090627188156447,0.3398876404494382,0.2379979570990807,0.7243439854507664,0.7243439854507664,3849,42,42,0,0,1019,2788,1.0,-0.11633490047014106,-0.1018896833503575,0.0
