System,Column,WER,CER,Sentence Accuracy,Samples
Final Verified Agentic,final_agentic_corrected,0.20586175852755828,0.23446216704643671,0.7243439854507664,3849
Character + Word,word_corrected,0.2090627188156447,0.2379979570990807,0.7243439854507664,3849
Selected Pre-Verification,pre_verification_corrected,0.2090627188156447,0.2379979570990807,0.7243439854507664,3849
Character Agent,character_corrected,0.32539761928578576,0.3398876404494382,0.7243439854507664,3849
Whisper Raw,whisper_raw,0.32599779933980194,0.3400055001178597,0.7233047544816835,3849
